brand,product_name,product_id,rating,reviews_count,discounted_price,original_price,discount_percentage
g45 5G,"Motorola g45 5G (Brilliant Green, 128 GB)",PB3W0009IN|PB3W0002IN,4.3,"(1,29,063)","12,999","14,999",13
g45 5G,"Motorola g45 5G (Pink Lavender, 128 GB)",PB3W0010IN|PB3W0001IN,4.3,"(1,29,063)","12,999","14,999",13
g45 5G,"Motorola g45 5G (Viva Magenta, 128 GB)",PB3W0011IN|PB3W0003IN,4.3,"(1,29,063)","12,999","14,999",13
g45 5G,"Motorola g45 5G (Brilliant Blue, 128 GB)",PB3W0014IN|PB3W0004IN,4.3,"(32,998)","10,999","12,999",15
Edge 50,"MOTOROLA Edge 50 (Jungle Green, 256 GB)",PB2W0001IN,4.3,"(27,819)","21,999","32,999",33
g05,"MOTOROLA g05 (Forest Green, 64 GB)",PB790000IN,4.3,"(17,078)","7,299","9,999",27
C61,"POCO C61  - Locked with Airtel Prepaid (Diamond Dust Black, 64 GB)",MZB0H0RIN,4.2,"(93,161)","5,399","8,999",40
C75 5G,"POCO C75 5G (Enchanted Green, 64 GB)",MZB0IDJIN,4.3,"(29,703)","7,999","10,999",27
C61,"POCO C61 (Diamond Dust Black, 64 GB)",MZB0GE3IN,4.2,"(93,161)","7,499","8,999",16
M6 Plus 5G,"POCO M6 Plus 5G (Misty Lavender, 128 GB)",MZB0HKIIN,4.2,"(32,973)","10,499","15,999",34
C75 5G,"POCO C75 5G (Silver Stardust, 64 GB)",MZB0IDEIN,4.3,"(29,703)","7,999","10,999",27
M7 Pro 5G,"POCO M7 Pro 5G (Lunar Dust, 128 GB)",MZB0ICAIN,4.3,"(6,415)","13,499","18,999",28
T3 Lite 5G,"vivo T3 Lite 5G (Vibrant Green, 128 GB)",V2356,4.4,"(89,694)","11,499","15,499",25
T4x 5G,"vivo T4x 5G (Marine Blue, 128 GB)",V2437,4.5,"(15,305)","13,999","17,999",22
T3 Lite 5G,"vivo T3 Lite 5G (Vibrant Green, 128 GB)",V2356,4.4,"(59,445)","10,499","14,499",27
T4x 5G,"vivo T4x 5G (Marine Blue, 256 GB)",V2437,4.5,"(12,938)","16,999","20,999",19
T3 Lite 5G,"vivo T3 Lite 5G (Majestic Black, 128 GB)",V2356,4.4,"(59,445)","10,499","14,499",27
T3 Lite 5G,"vivo T3 Lite 5G (Majestic Black, 128 GB)",V2356,4.4,"(89,694)","11,499","15,499",25
