brand,name,price,original_price
U.S. Polo Assn.,Men Printed Casual Shirts,Rs. 1874,Rs. 1874
U.S. Polo Assn.,Men Solid Casual Shirts,Rs. 1874,Rs. 1874
ONEWAY,Unisex Solid Cotton T-shirt,Rs. 559,Rs. 559
HIGHLANDER,Slim Fit Casual Shirt,Rs. 449,Rs. 449
Roadster,Men Light Fade Skater Jeans,Rs. 1007,Rs. 1007
DAMENSCH,DEO-SOFT Deodorizing Trunks,Rs. 429,Rs. 429
Styli,Men Fit Shirt & Shorts Co-ords,Rs. 1999,Rs. 1999
Flying Machine,Pure Cotton Relaxed T-shirt,Rs. 649,Rs. 649
Celio,Men Cargos Trousers,Rs. 1399,Rs. 1399
U.S. Polo Assn.,Men Relaxed-Fit Shorts,Rs. 773,Rs. 773
Mast & Harbour,Men Slim Fit Casual Shirt,Rs. 599,Rs. 599
Levis,Men Solid Trunks,Rs. 339,Rs. 339
Roadster,Chambray Casual Shirt,Rs. 614,Rs. 614
Sangria,Men Solid Mid Rise Dhoti,Rs. 1319,Rs. 1319
Banana Club,Men Cotton Linen Shirt,Rs. 1239,Rs. 1239
VASTRAMAY,Embroidered Sherwani Set,Rs. 4283,Rs. 4283
Jompers,Embroidered Kurta with Pyjamas,Rs. 1033,Rs. 1033
HERE&NOW,Men Short Kurta,Rs. 797,Rs. 797
Vastraa Fusion,Pure Wool Nehru Jacket,Rs. 1599,Rs. 1599
DAMENSCH,DEO-SOFT Deodorizing Trunks,Rs. 429,Rs. 429
Celio,Linen Casual Shirt,Rs. 2699,Rs. 2699
Jompers,Embroidered Pure Cotton Kurta,Rs. 935,Rs. 935
Levis,Pack Of 2 Cotton Trunk,Rs. 580,Rs. 580
DAMENSCH,Pack Of 3 Deo-Soft Trunk,Rs. 1159,Rs. 1159
Mast & Harbour,Striped Shorts Set,Rs. 874,Rs. 874
VASTRAMAY,Embroidered Sherwani Set,Rs. 4283,Rs. 4283
HRX by Hrithik Roshan,Men Parachute Track Pants,Rs. 599,Rs. 599
VASTRADO,Men Solid Casual Shirt,Rs. 659,Rs. 659
MANQ,Men Slim Fit Formal Blazer,Rs. 2459,Rs. 2459
Beyoung,Loose-Fit Cotton Lounge Pants,Rs. 899,Rs. 899
Aeropostale,Relaxed Fit Cotton T-shirt,Rs. 509,Rs. 509
Pepe Jeans,Pack Of 2 Pure Cotton Boxers,Rs. 647,Rs. 647
VASTRAMAY,Men Indo-Western Sherwani Set,Rs. 2799,Rs. 2799
HERE&NOW,Men Liva Kurta,Rs. 959,Rs. 959
U.S. Polo Assn.,Cotton OELP6 Lounge Pants,Rs. 890,Rs. 890
V-Mart,Woven Designed Nehru Jacket,Rs. 726,Rs. 726
StyleCast,Men Jogger Cotton Jeans,Rs. 1246,Rs. 1246
Jompers,Embroidered Cotton Kurta Set,Rs. 989,Rs. 989
U.S. Polo Assn.,Pure Cotton Tailored Fit Shirt,Rs. 1949,Rs. 1949
U.S. Polo Assn.,Men Lightweight Lounge T-shirt,Rs. 566,Rs. 566
max,Men Solid Lounge Shorts,Rs. 349,Rs. 349
DAMENSCH,Pack Of 2 Deo Cotton Trunk,Rs. 553,Rs. 553
